Search terms report
13 April 2024 - 12 July 2025
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
πηγεσ αχεροντα γλυκη,Broad match,Added,Website traffic-Search-GR,Ad group 1,2,1,50.00%,EUR,0.20,0.20,Search,0.00%,0.00,0.00
πάργα αχέροντασ,Phrase match (close variant),None,Website traffic-Search-GR,Ad group 1,4,1,25.00%,EUR,0.01,0.01,Search,100.00%,1.00,0.01
φαράγγι αχέροντα,Phrase match (close variant),None,Website traffic-Search-GR,Ad group 1,2,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
αχεροντασ ποταμοσ,Exact match (close variant),Added,Website traffic-Search-GR,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
acheron springs parga,Broad match,None,Summer 2025 - ENG - Search,Ad group 1,18,4,22.22%,EUR,0.46,1.84,Search,0.00%,0.00,0.00
rafting αχέροντασ,Broad match,None,Summer 2025 - ENG - Search,Rafting Acheron (High Intent),3,1,33.33%,EUR,0.18,0.18,Search,0.00%,0.00,0.00
rafting στον αχεροντα,Phrase match (close variant),None,Summer 2025 - ENG - Search,Ad group 1,10,2,20.00%,EUR,0.28,0.56,Search,0.00%,0.00,0.00
horse riding acheron river,Broad match,None,Summer 2025 - ENG - Search,Rafting Acheron (High Intent),14,6,42.86%,EUR,0.17,1.00,Search,0.00%,0.00,0.00
horse riding in corfu,Broad match,None,Summer 2025 - ENG - Search,Horse Riding Acheron (High Intent),4,1,25.00%,EUR,0.27,0.27,Search,0.00%,0.00,0.00
acheron river tour parga,Phrase match (close variant),None,Summer 2025 - ENG - Search,Ad group 1,12,4,33.33%,EUR,0.37,1.46,Search,0.00%,0.00,0.00
places to visit in parga,Exact match (close variant),None,Summer 2025 - ENG - Search,Ad group 1,15,6,40.00%,EUR,0.27,1.61,Search,0.00%,0.00,0.00
live music parga,Broad match,None,Summer 2025 - ENG - Search,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
parga cruises captain hook,Broad match,None,Summer 2025 - ENG - Search,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
acheron springs river walk,Broad match,None,Summer 2025 - ENG - Search,Acheron Packages (Highest Value),1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
parga greece travel guide,Broad match,None,Summer 2025 - ENG - Search,Ad group 1,3,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
croft top equestrian centre,Broad match,None,Summer 2025 - ENG - Search,Horse Riding Acheron (High Intent),1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
prices in parga greece,Broad match,None,Summer 2025 - ENG - Search,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
horse riding bornholm,Broad match,None,Summer 2025 - ENG - Search,Horse Riding Acheron (High Intent),1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
holidays in parga greece,Broad match,None,Summer 2025 - ENG - Search,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
bournemouth horse riding,Broad match,None,Summer 2025 - ENG - Search,Horse Riding Acheron (High Intent),1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
horse riding el paso,Broad match,None,Summer 2025 - ENG - Search,Horse Riding Acheron (High Intent),1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
parga tourist train,Broad match,None,Summer 2025 - ENG - Search,Ad group 1,2,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
horse riding hyde park,Broad match,None,Summer 2025 - ENG - Search,Horse Riding Acheron (High Intent),1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
leonidas house parga,Broad match,None,Summer 2025 - ENG - Search,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
local horse riding near me,Exact match (close variant),None,Summer 2025 - ENG - Search,Horse Riding Acheron (High Intent),1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
horse riding lefkada,Broad match,None,Summer 2025 - ENG - Search,Ad group 1,5,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
horse riding lake garda,Broad match,None,Summer 2025 - ENG - Search,Horse Riding Acheron (High Intent),1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
acheron river corfu,Broad match,None,Summer 2025 - ENG - Search,Rafting Acheron (High Intent),4,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
marco polo sailing boat parga,Phrase match (close variant),None,Summer 2025 - ENG - Search,Ad group 1,2,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
parga festival 2024,Broad match,None,Summer 2025 - ENG - Search,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
สนาม ขี่ ม้า,Phrase match (close variant),None,eng-keywords,Ad group 1,10,2,20.00%,EUR,0.02,0.04,Search,0.00%,0.00,0.00
تعليم ركوب الخيل,Phrase match (close variant),None,eng-keywords,Ad group 1,195,2,1.03%,EUR,0.03,0.06,Search,0.00%,0.00,0.00
ελατη βυτινα πεζοπορια,Phrase match (close variant),None,PR 28/4/23,Ομάδα διαφημίσεων 1,1,1,100.00%,EUR,0.24,0.24,Search,0.00%,0.00,0.00
horses,Broad match,None,eng-keywords,Ad group 1,"2,596",19,0.73%,EUR,0.03,0.53,Search,0.00%,0.00,0.00
horse riding istanbul,Phrase match,None,eng-keywords,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
caballo valle,Broad match,None,eng-keywords,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
βασισου πανω σου πρασσειν αλογα,Broad match,None,PR 28/4/23,Ομάδα διαφημίσεων 1,10,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
pov horse riding,Broad match,None,eng-keywords,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
amazing horse riding,Broad match,None,eng-keywords,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
horse riding for girls,Phrase match (close variant),None,eng-keywords,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
طريقة ركوب الخيل للنساء,Phrase match (close variant),None,eng-keywords,Ad group 1,2,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
يركب الحصان,Phrase match (close variant),None,eng-keywords,Ad group 1,3,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
αναβαση διρφυσ,Broad match,None,PR 28/4/23,Ομάδα διαφημίσεων 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
βολτα με αλογα αττικη,Broad match,None,PR 28/4/23,Ομάδα διαφημίσεων 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
hard riding horse,Broad match,None,eng-keywords,Ad group 1,3,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
sanchi riding,Broad match,None,eng-keywords,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
miniature pony riding,Broad match,None,eng-keywords,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
ειδη ιππασιασ,Phrase match,None,PR 28/4/23,Ομάδα διαφημίσεων 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
horse riding jumping,Phrase match,None,eng-keywords,Ad group 1,11,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
trekking hellas,Phrase match (close variant),None,PR 28/4/23,Ομάδα διαφημίσεων 1,5,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
نادي ركوب الخيل,Phrase match (close variant),None,eng-keywords,Ad group 1,2,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
ركوب خيل اطفال,Phrase match (close variant),None,eng-keywords,Ad group 1,3,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
malappuram horse riding,Phrase match (close variant),None,eng-keywords,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
ιππασια λιμνη δοξα,Phrase match (close variant),None,PR 28/4/23,Ομάδα διαφημίσεων 1,2,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
horse package 2024,Broad match,None,eng-keywords,Ad group 1,3,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
park horse riding,Broad match,None,eng-keywords,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
riders riding,Broad match,None,eng-keywords,Ad group 1,25,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
ips horse riding training,Broad match,None,eng-keywords,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
horse and,Broad match,None,eng-keywords,Ad group 1,42,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
