Device report
13 April 2024 - 12 July 2025
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Tablets,Campaign,Brand & Competitors - GR, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Brand & Competitors - GR, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Brand & Competitors - GR, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Holiday Packages - EN, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Website traffic-Search-GR, --, --,None,"2,285",423,18.51%,EUR,0.22,94.81,0.47%,2.00,47.41
Computers,Campaign,Holiday Packages - EN, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Website traffic-Search-GR, --, --,None,413,56,13.56%,EUR,0.21,11.70,0.00%,0.00,0.00
Mobile Phones,Campaign,Holiday Packages - EN, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Website traffic-Search-GR, --, --,None,"26,528","5,141",19.38%,EUR,0.22,1107.35,9.53%,490.00,2.26
Computers,Campaign,Holiday Packages - GR, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Holiday Packages - GR, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Holiday Packages - GR, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,eng-keywords, --, --,None,"85,990",677,0.79%,EUR,0.02,15.22,0.00%,0.00,0.00
Computers,Campaign,PR 28/4/23, --, --,None,"3,450",50,1.45%,EUR,0.14,7.01,0.00%,0.00,0.00
Tablets,Campaign,eng-keywords, --, --,None,77,1,1.30%,EUR,0.01,0.01,0.00%,0.00,0.00
Mobile Phones,Campaign,PR 28/4/23, --, --,None,"33,469",362,1.08%,EUR,0.12,43.28,0.00%,0.00,0.00
Computers,Campaign,eng-keywords, --, --,None,956,10,1.05%,EUR,0.03,0.29,0.00%,0.00,0.00
Tablets,Campaign,PR 28/4/23, --, --,None,"1,934",11,0.57%,EUR,0.08,0.86,0.00%,0.00,0.00
Mobile Phones,Campaign,Summer 2025 - Greece - Search, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Summer 2025 - Greece - Search, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Summer 2025 - Greece - Search, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Acheron Core Activities - GR, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Brand & Competitors - EN, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Brand & Competitors - EN, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Acheron Core Activities - GR, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,Summer 2025 - ENG - Search, --, --,None,2,0,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Summer 2025 - ENG - Search, --, --,None,"2,906",213,7.33%,EUR,0.31,65.26,0.94%,2.00,32.63
Mobile Phones,Campaign,Brand & Competitors - EN, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Summer 2025 - ENG - Search, --, --,None,906,40,4.42%,EUR,0.17,6.82,0.00%,0.00,0.00
Computers,Campaign,Acheron Core Activities - GR, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Summer 2025 - ENG - Search, --, --,None,"213,647","10,503",4.92%,EUR,0.10,1039.42,0.90%,95.00,10.94
Tablets,Campaign,Acheron Core Activities - EN, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Acheron Core Activities - EN, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Acheron Core Activities - EN, --, --,None,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
,,,,Total: Account,,"372,563","17,487",4.69%,EUR,0.14,2392.03,3.37%,589.00,4.06
