Audiences
All time
Audience segment,Audience segment state,Campaign,Ad group,Currency code,Ad group default max. CPC,Audience segment max CPC,Audience segment bid adj.,Targeting Setting,Clicks,Impr.,CTR,Avg. CPC,Cost
People not in audiences,Removed,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,237,"3,722",6.37%,0.24,57.85
People not in audiences,Removed,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,"1,025","5,310",19.30%,0.21,211.14
Travel › Travel Buffs › Family Holidayers,Enabled,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,89,612,14.54%,0.15,13.59
Travel › Travel Buffs › Family Holidayers,Enabled,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,183,791,23.14%,0.20,35.84
Lifestyles & Hobbies › Outdoor enthusiasts,Enabled,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,52,711,7.31%,0.12,6.18
Lifestyles & Hobbies › Outdoor enthusiasts,Enabled,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,126,622,20.26%,0.20,24.82
Sports & Fitness › Outdoor Recreational Equipment,Enabled,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,"3,201","74,091",4.32%,0.04,123.49
Sports & Fitness › Outdoor Recreational Equipment,Enabled,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,36,"1,034",3.48%,0.14,4.93
Sports & Fitness,Enabled,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,77,"1,938",3.97%,0.07,5.37
Sports & Fitness,Enabled,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,128,"1,264",10.13%,0.18,22.62
Sports & Fitness,Enabled,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,96,498,19.28%,0.19,18.10
Sports & Fitness,Enabled,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,363,"1,681",21.59%,0.21,74.66
Lifestyles & Hobbies › Thrill Seekers,Enabled,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,21,255,8.24%,0.20,4.27
Lifestyles & Hobbies › Thrill Seekers,Enabled,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,109,448,24.33%,0.18,20.14
Travel,Enabled,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,728,"18,566",3.92%,0.06,40.57
Travel,Enabled,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,92,708,12.99%,0.23,21.20
Travel,Enabled,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,289,"1,268",22.79%,0.20,58.29
Travel,Enabled,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,424,"1,673",25.34%,0.20,82.79
Travel › Travel Buffs,Enabled,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,196,"1,781",11.01%,0.12,23.93
Travel › Travel Buffs,Enabled,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,389,"1,906",20.41%,0.20,76.67
Travel › Trips by Destination,Enabled,Website traffic-Search-ENG,Ad group 1,EUR,0.01,0, --,Observation,"4,247","99,088",4.29%,0.04,151.40
Travel › Trips by Destination,Enabled,Website traffic-Search-GR,Ad group 1,EUR,0.01,0, --,Observation,211,"1,390",15.18%,0.20,41.20
