Search keyword
All time
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
acheron rafting,Eligible,,Broad match,Website traffic-Search-ENG,Ad group 1,EUR,0.01,173,883,19.59%,0.10,16.82,22.66%,66.54%,0.00,0,0,0.00%
acheron riding,Eligible,,Broad match,Website traffic-Search-ENG,Ad group 1,EUR,0.01,46,215,21.40%,0.12,5.59,30.46%,74.62%,0.00,0,0,0.00%
parga activities,Eligible,,Broad match,Website traffic-Search-ENG,Ad group 1,EUR,0.01,36,473,7.61%,0.26,9.30,29.12%,56.47%,0.00,0,0,0.00%
parga riding,Eligible,,Broad match,Website traffic-Search-ENG,Ad group 1,EUR,0.01,11,89,12.36%,0.23,2.53,29.17%,66.67%,0.00,0,0,0.00%
parga things to do,Eligible,,Broad match,Website traffic-Search-ENG,Ad group 1,EUR,0.01,21,206,10.19%,0.29,6.16,19.70%,65.91%,0.00,0,0,0.00%
places to visit in parga greece,Eligible,,Broad match,Website traffic-Search-ENG,Ad group 1,EUR,0.01,305,"2,970",10.27%,0.28,85.20,18.34%,54.80%,0.00,0,0,0.00%
rafting axerontas,Eligible,,Broad match,Website traffic-Search-ENG,Ad group 1,EUR,0.01,6,44,13.64%,0.10,0.59,37.93%,62.07%,0.00,0,0,0.00%
rafting parga,Eligible,,Broad match,Website traffic-Search-ENG,Ad group 1,EUR,0.01,19,156,12.18%,0.10,1.86,15.87%,66.67%,0.00,0,0,0.00%
rafting στον αχεροντα,Eligible,,Broad match,Website traffic-Search-GR,Ad group 1,EUR,0.01,"1,650","5,283",31.23%,0.19,311.72,72.92%,79.97%,0.00,0,0,0.00%
things to do around parga greece,Eligible,,Broad match,Website traffic-Search-ENG,Ad group 1,EUR,0.01,1,11,9.09%,0.23,0.23,11.11%,22.22%,0.00,0,0,0.00%
things to do in parga,Eligible,,Broad match,Website traffic-Search-ENG,Ad group 1,EUR,0.01,134,"1,921",6.98%,0.34,45.33,23.98%,62.37%,0.00,0,0,0.00%
αχεροντασ αλογα,Eligible,,Broad match,Website traffic-Search-GR,Ad group 1,EUR,0.01,67,193,34.72%,0.21,14.12,72.61%,74.52%,0.00,0,0,0.00%
αχέροντασ δραστηριότητεσ,Eligible,,Broad match,Website traffic-Search-GR,Ad group 1,EUR,0.01,258,724,35.64%,0.35,90.16,76.05%,81.82%,0.00,0,0,0.00%
αχεροντασ καγιακ,Eligible,,Broad match,Website traffic-Search-GR,Ad group 1,EUR,0.01,105,618,16.99%,0.19,19.84,53.10%,62.07%,0.00,0,0,0.00%
αχεροντασ πεζοπορια,Eligible,,Broad match,Website traffic-Search-GR,Ad group 1,EUR,0.01,39,176,22.16%,0.19,7.26,67.35%,68.03%,0.00,0,0,0.00%
δραστηριοτητεσ πηγεσ αχεροντα,Eligible,,Broad match,Website traffic-Search-GR,Ad group 1,EUR,0.01,22,54,40.74%,0.18,3.85,86.67%,86.67%,0.00,0,0,0.00%
δραστηριοτητεσ στον αχεροντα,Removed,removed,Broad match,Website traffic-Search-GR,Ad group 1,EUR,0,0,0,0,0,0.00,0,0,0.00,0,0,0
ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΣΤΟΝ ΑΧΕΡΟΝΤΑ,Eligible,,Broad match,Website traffic-Search-GR,Ad group 1,EUR,0.01,238,"1,461",16.29%,0.20,46.64,43.04%,64.98%,0.00,0,0,0.00%
δραστηριοτητεσ στον ποταμο αχεροντα,Eligible,,Broad match,Website traffic-Search-GR,Ad group 1,EUR,0.01,98,517,18.96%,0.18,18.10,38.73%,63.24%,0.00,0,0,0.00%
