Search terms
All time
Search term,Search terms match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
a parga,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
a vista parga,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
acheron,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
acheron adventure,Broad match,None,0,1,0.00%,EUR,0,0.00,100.00%,100.00%,0.00,0,0,0
acheron boat trips,Broad match,None,1,6,16.67%,EUR,0.07,0.07,20.00%,80.00%,0.00,0,0,0.00%
acheron canoe kayak day tour,Broad match,None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
acheron gorge,Broad match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
acheron kayak eco,Broad match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
acheron kayak eco tour kayaking parga preveza river guided sup trips,Broad match,None,1,2,50.00%,EUR,0.12,0.12,0.00%,50.00%,0.00,0,0,0.00%
acheron parga,Broad match,None,0,3,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
acheron rafting,Exact match,Added,15,82,18.29%,EUR,0.08,1.27,34.33%,82.09%,0.00,0,0,0.00%
acheron rafting club,Broad match,None,0,3,0.00%,EUR,0,0.00,33.33%,66.67%,0.00,0,0,0
acheron rafting club,Exact match (close variant),None,2,23,8.70%,EUR,0.08,0.15,19.05%,57.14%,0.00,0,0,0.00%
acheron rafting club αξιολογήσεισ,Phrase match (close variant),None,0,14,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
acheron rafting club γλυκή,Phrase match,None,0,1,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
acheron rafting club γλυκή 462 00,Phrase match,None,0,1,0.00%,EUR,0,0.00,0.00%,100.00%,0.00,0,0,0
acheron reka,Broad match,None,0,2,0.00%,EUR,0,0.00,0,0,0.00,0,0,0
acheron river,Broad match,None,2,14,14.29%,EUR,0.54,1.07,28.57%,100.00%,0.00,0,0,0.00%
acheron river activities,Broad match,None,6,32,18.75%,EUR,0.07,0.42,3.13%,50.00%,0.00,0,0,0.00%
acheron river boat trip,Broad match,None,2,22,9.09%,EUR,0.17,0.34,9.09%,63.64%,0.00,0,0,0.00%
acheron river boat trip,Exact match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,0.00%,0.00,0,0,0
acheron river excursion,Broad match,None,1,2,50.00%,EUR,0.47,0.47,50.00%,50.00%,0.00,0,0,0.00%
acheron river greece,Broad match,None,0,51,0.00%,EUR,0,0.00,33.33%,77.78%,0.00,0,0,0
acheron river horse riding,Broad match,None,11,22,50.00%,EUR,0.08,0.91,60.00%,95.00%,0.00,0,0,0.00%
acheron river horse riding,Exact match (close variant),None,0,2,0.00%,EUR,0,0.00,0.00%,50.00%,0.00,0,0,0
